firm_name,count
Chipotle,9263
CGI,7771
Goldman-Sachs,7123
Dunkin,5486
H-E-B,5196
Ross-Stores,5059
UBS,4823
GameStop,3915
Valeo,3078
CA-Technologies,2979
Sysco,2087
Amazon-Flex,1881
Publicis-Sapient,1646
ALSTOM,1378
The-UPS-Store,1293
Tyson-Foods,1238
GlobalData,1177
Pegasystems,1101
Coty,1078
Swarovski,951
Tech-Data,837
SeaWorld-Parks-and-Entertainment,798
Beaumont-Health,783
HUB-International,774
RH,762
Alaska-Airlines,745
Stefanini,732
Canada-Life,720
Unity,705
DHL,681
Gymboree,626
CALVIN-KLEIN,592
TriNet,576
Petrofac,571
Hendrick-Automotive-Group,561
Cpl-Resources,546
Afni,505
Texas-Health-and-Human-Services-Commission,492
United-Bank-for-Africa,482
Pernod-Ricard,477
Nuffield-Health,472
Rabobank,468
Brown-University,462
WW-WeightWatchers,435
Men-s-Wearhouse,435
Tradeindia-com-Infocom-Network,415
Quinnox,382
Quikr-India,371
Norwegian-Cruise-Line-Holdings-Ltd,365
ICBC,343
University-of-Nevada-Las-Vegas,343
Meritage-Homes,333
Jet,311
Rexel-Group,300
AXA-UK,297
Palm-Beach-County-School-District,296
BBDO,290
Wayne-Sanderson-Farms,280
Lettuce-Entertain-You,277
Brose,274
Carleton-University,273
Vivo-Global,272
Savers-Health-and-Beauty,263
Famous-Dave-s,255
3D-Systems,253
Toshiba-America-Business-Solutions,253
Ecobank,250
National-Geographic-Society,249
Group-1-Automotive,246
Mercury-General,244
Valencia-College,239
Summa-Health-System,231
DreamWorks-Animation,214
Tata-Group,214
Tata-AIA-Life,212
Trinity-Industries,212
Arriva-Group,211
RLI,206
Avianca,203
Milliken,200
M1,185
EnerSys,183
Hydro-One,183
Crowley,178
Hollister-Incorporated,177
Schibsted,164
Seiko-Epson,161
SKP-Group,160
AFL,155
Marc-Glassman,153
Orora,152
WellSky,151
The-Select-Group,149
Newsquest,146
Extendicare,144
William-and-Mary,144
REVE-Systems,140
Intrum,138
Movado-Group,136
Wacker-Chemie,135
Apex-Tool-Group,134
Conair,131
Emco-Corporation,129
Hi-Rez-Studios,128
CARQUEST,127
Aujas,126
S-and-C-Electric-Company,119
LGC,117
Purity-Cosmetics,114
HP-Hood,112
Vallourec,112
Indian-Health-Service,110
Special-Olympics,110
Promact-InfoTech-Pvt,104
Atrium,103
Bechtel-Marine-Propulsion,101
Norwegian-Refugee-Council,98
Portland-Communications,98
Albany-International,97
Binding-Site,95
NIBCO,90
EOS-Group,88
Barton-Malow,87
ProTransport-1,86
Cadence-Financial,86
Legacy-Healthcare-Services,84
Do-it-Best,83
Electronic-Transaction-Consultants,82
New-York-County-District-Attorney,80
Tower-Semiconductor,80
COLSA,79
Hindustan-Times,78
Vista-College,76
Army-Family-and-MWR-Programs,74
Commonwealth-of-Virginia,70
TecOrb-Technologies,41
