,Word,5_cons,1_pros,4_pros,2_pros,3_pros
0,work,5503.0,6944.0,7551.0,5633.0,7642.0
1,hour,2713.0,2226.0,3525.0,2179.0,3438.0
2,con,2712.0,166.0,1057.0,106.0,271.0
3,time,2380.0,2225.0,3198.0,2056.0,2951.0
4,company,2065.0,3266.0,2283.0,2273.0,2586.0
5,long,1694.0,928.0,2204.0,946.0,1622.0
6,good,1584.0,1285.0,1780.0,1166.0,1864.0
7,pay,1378.0,2967.0,2880.0,2741.0,4018.0
8,lot,1324.0,856.0,2043.0,1034.0,2043.0
9,think,1219.0,443.0,437.0,279.0,315.0
10,job,1042.0,1865.0,1371.0,1374.0,1626.0
11,management,1041.0,4988.0,3090.0,4234.0,5142.0
12,need,1040.0,751.0,1273.0,712.0,1140.0
13,hard,1035.0,532.0,1401.0,655.0,1189.0
14,customer,1022.0,1177.0,1445.0,1058.0,1593.0
15,great,930.0,360.0,726.0,361.0,675.0
16,people,920.0,2721.0,1561.0,2002.0,2098.0
17,employee,837.0,3515.0,1701.0,2569.0,2543.0
18,salary,812.0,667.0,1744.0,716.0,1559.0
19,life,806.0,1005.0,1423.0,811.0,1362.0
