,industry,year,pros_sentiment,cons_sentiment,rating,work/life_balance,compensation_and_benefits,culture_and_values,senior_management,diversity_and_inclusion
0,Automotive,2015,0.48,0.01,2.91,2.18,3.13,3.04,2.36,0.0
1,Automotive,2016,0.4,0.01,3.29,2.84,3.27,3.33,2.83,0.0
2,Automotive,2017,0.4,0.03,3.32,2.85,3.41,3.45,3.02,0.0
3,Automotive,2018,0.37,0.0,3.08,2.72,3.42,3.08,2.78,0.0
4,Automotive,2019,0.38,0.0,3.6,3.13,3.49,3.58,3.11,0.0
5,Automotive,2020,0.39,0.09,3.62,3.14,3.77,3.63,3.26,0.9
6,Automotive,2021,0.42,0.05,4.18,3.85,4.2,4.23,3.96,4.18
7,Automotive,2022,0.46,0.02,3.63,3.12,3.68,3.64,3.23,3.84
8,Automotive,2023,0.42,0.05,3.82,2.85,3.64,3.64,3.33,3.9
9,Business_Services,2015,0.35,0.03,3.09,3.03,3.08,3.0,2.85,0.0
10,Business_Services,2016,0.38,0.01,2.98,2.91,3.13,2.97,2.89,0.0
11,Business_Services,2017,0.37,-0.01,3.06,2.94,3.22,3.11,2.88,0.0
12,Business_Services,2018,0.37,-0.01,3.3,3.19,3.35,3.21,3.03,0.0
13,Business_Services,2019,0.34,-0.01,3.09,2.89,3.1,3.0,2.77,0.0
14,Business_Services,2020,0.39,-0.03,3.26,3.23,3.1,3.2,2.84,0.9
15,Business_Services,2021,0.4,0.02,3.33,3.14,3.33,3.26,2.94,3.54
16,Business_Services,2022,0.42,0.0,3.64,3.4,3.43,3.56,3.4,3.77
17,Business_Services,2023,0.42,0.05,3.71,3.67,3.29,3.77,3.53,3.99
18,Consumer_Goods,2015,0.45,0.04,3.04,3.0,2.83,3.02,2.63,0.0
19,Consumer_Goods,2016,0.43,0.01,3.31,3.15,3.1,3.3,2.82,0.0
20,Consumer_Goods,2017,0.37,0.02,2.74,2.83,2.94,2.65,2.4,0.0
21,Consumer_Goods,2018,0.38,-0.01,2.77,2.76,2.96,2.71,2.48,0.0
22,Consumer_Goods,2019,0.38,0.0,2.9,2.92,3.0,2.75,2.44,0.0
23,Consumer_Goods,2020,0.37,-0.02,2.9,2.81,2.99,2.67,2.56,1.1
24,Consumer_Goods,2021,0.4,-0.02,3.22,3.07,3.29,3.09,2.83,3.26
25,Consumer_Goods,2022,0.37,-0.0,3.42,3.23,3.32,3.25,3.0,3.57
26,Consumer_Goods,2023,0.48,0.06,3.39,3.35,3.35,3.34,3.05,3.61
27,Education,2015,0.48,0.02,4.02,3.94,3.31,3.97,3.38,0.0
28,Education,2016,0.45,0.01,4.19,4.09,3.4,4.11,3.44,0.0
29,Education,2017,0.47,0.01,4.28,4.11,3.68,4.25,3.89,0.0
30,Education,2018,0.47,0.06,4.32,4.06,3.9,4.2,3.84,0.0
31,Education,2019,0.47,0.06,4.15,4.04,3.52,4.2,3.62,0.0
32,Education,2020,0.39,-0.04,4.19,4.05,3.63,4.09,3.77,1.32
33,Education,2021,0.44,0.03,4.18,4.04,3.67,4.04,3.82,4.13
34,Education,2022,0.4,0.01,4.08,4.0,3.63,4.01,3.71,4.16
35,Education,2023,0.52,-0.02,4.22,4.02,3.87,4.22,3.72,4.07
36,Energy,2015,0.4,0.02,3.21,2.71,3.3,2.97,2.63,0.0
37,Energy,2016,0.38,0.03,3.3,2.78,3.25,3.22,2.7,0.0
38,Energy,2017,0.39,-0.02,3.48,2.99,3.49,3.19,2.86,0.0
39,Energy,2018,0.43,0.01,3.36,3.07,3.54,3.18,2.8,0.0
40,Energy,2019,0.4,-0.03,3.35,3.05,3.55,3.18,2.78,0.0
41,Energy,2020,0.4,-0.0,3.58,3.06,3.61,3.44,3.09,1.09
42,Energy,2021,0.47,0.02,3.57,3.09,3.48,3.43,2.99,3.65
43,Energy,2022,0.44,0.03,3.74,3.3,3.67,3.61,3.23,3.81
44,Energy,2023,0.48,-0.05,3.73,3.16,3.69,3.54,3.08,3.81
45,Finance,2015,0.39,-0.01,3.59,2.98,3.51,3.46,3.17,0.0
46,Finance,2016,0.42,-0.0,3.58,3.01,3.56,3.49,3.14,0.0
47,Finance,2017,0.41,-0.0,3.67,3.08,3.6,3.57,3.21,0.0
48,Finance,2018,0.42,-0.02,3.7,3.27,3.65,3.63,3.31,0.0
49,Finance,2019,0.41,-0.01,3.69,3.25,3.65,3.59,3.22,0.0
50,Finance,2020,0.42,0.0,3.91,3.35,3.82,3.82,3.52,1.45
51,Finance,2021,0.42,0.0,3.81,3.24,3.67,3.75,3.48,3.9
52,Finance,2022,0.42,-0.01,3.82,3.44,3.6,3.82,3.48,3.99
53,Finance,2023,0.42,-0.02,3.61,3.15,3.55,3.6,3.28,3.83
54,Food_and_Beverage,2015,0.4,0.01,3.45,3.0,3.57,3.52,3.1,0.0
55,Food_and_Beverage,2016,0.45,0.01,3.45,3.03,3.66,3.4,3.0,0.0
56,Food_and_Beverage,2017,0.44,-0.02,3.38,2.98,3.58,3.39,2.91,0.0
57,Food_and_Beverage,2018,0.42,-0.03,3.36,3.05,3.66,3.16,2.76,0.0
58,Food_and_Beverage,2019,0.42,-0.02,3.52,3.05,3.65,3.51,3.08,0.0
59,Food_and_Beverage,2020,0.47,0.03,3.53,3.12,3.89,3.4,3.13,1.72
60,Food_and_Beverage,2021,0.42,-0.02,3.55,3.2,3.76,3.51,3.13,3.6
61,Food_and_Beverage,2022,0.46,-0.0,3.56,3.23,3.73,3.44,3.11,3.7
62,Food_and_Beverage,2023,0.45,-0.02,3.27,3.06,3.5,3.14,2.83,3.44
63,Healthcare,2015,0.4,-0.0,3.07,3.23,2.99,3.17,2.66,0.0
64,Healthcare,2016,0.39,-0.01,3.14,3.21,2.89,3.21,2.64,0.0
65,Healthcare,2017,0.39,-0.0,3.1,3.2,3.05,3.11,2.63,0.0
66,Healthcare,2018,0.44,-0.01,3.1,3.21,3.07,3.07,2.59,0.0
67,Healthcare,2019,0.38,0.0,3.03,3.09,3.0,2.95,2.49,0.0
68,Healthcare,2020,0.41,-0.01,3.33,3.31,3.35,3.23,2.79,1.11
69,Healthcare,2021,0.38,-0.03,3.21,3.16,3.16,3.15,2.77,3.43
