industry,stress_flag,burnout_flag,anxiety_flag,toxic_flag,supportive_env_flag,depression_flag,total_flags,stress_flag_percentage,burnout_flag_percentage,anxiety_flag_percentage,toxic_flag_percentage,supportive_env_flag_percentage,depression_flag_percentage
Retail,2461,540,130,1418,1520,118,6187,39.78,8.73,2.1,22.92,24.57,1.91
Technology,1692,140,172,1178,1927,139,5248,32.24,2.67,3.28,22.45,36.72,2.65
Finance,1214,110,47,462,1030,45,2908,41.75,3.78,1.62,15.89,35.42,1.55
Energy,507,10,7,143,226,18,911,55.65,1.1,0.77,15.7,24.81,1.98
Healthcare,173,52,17,190,238,26,696,24.86,7.47,2.44,27.3,34.2,3.74
Transportation_and_Logistics,134,32,19,157,163,19,524,25.57,6.11,3.63,29.96,31.11,3.63
Business_Services,142,12,26,139,182,12,513,27.68,2.34,5.07,27.1,35.48,2.34
Consumer_Goods,143,16,20,124,136,22,461,31.02,3.47,4.34,26.9,29.5,4.77
Food_and_Beverage,66,11,16,76,83,8,260,25.38,4.23,6.15,29.23,31.92,3.08
Media_and_Entertainment,54,8,12,53,56,7,190,28.42,4.21,6.32,27.89,29.47,3.68
Public_Sector,50,10,4,54,58,8,184,27.17,5.43,2.17,29.35,31.52,4.35
Education,50,7,2,28,75,8,170,29.41,4.12,1.18,16.47,44.12,4.71
Automotive,40,2,3,47,50,2,144,27.78,1.39,2.08,32.64,34.72,1.39
Other,36,3,5,32,42,3,121,29.75,2.48,4.13,26.45,34.71,2.48
Telecommunication,26,6,2,20,21,2,77,33.77,7.79,2.6,25.97,27.27,2.6
