,Word,5_pros,1_pros,4_pros,2_pros,3_pros
0,work,12681.0,2721.0,13807.0,3699.0,9362.0
1,great,10394.0,1299.0,8880.0,2152.0,5372.0
2,good,10051.0,3038.0,13610.0,4146.0,10093.0
3,company,4864.0,1069.0,4079.0,1051.0,2531.0
4,people,4262.0,1239.0,4875.0,1684.0,3674.0
5,environment,3637.0,280.0,3946.0,617.0,2262.0
6,benefit,3410.0,1012.0,4069.0,1570.0,3309.0
7,culture,3178.0,153.0,2698.0,222.0,1072.0
8,pay,3060.0,1326.0,3552.0,1520.0,3072.0
9,employee,2709.0,665.0,2253.0,794.0,1589.0
10,opportunity,2688.0,250.0,3012.0,575.0,1728.0
11,team,2422.0,340.0,2470.0,592.0,1504.0
12,management,2138.0,348.0,2084.0,397.0,1119.0
13,place,2138.0,381.0,1769.0,422.0,1080.0
14,life,2067.0,298.0,2561.0,501.0,1540.0
15,flexible,1948.0,382.0,2577.0,745.0,1978.0
16,balance,1873.0,211.0,2400.0,430.0,1416.0
17,lot,1774.0,429.0,2394.0,770.0,1815.0
18,friendly,1708.0,220.0,1859.0,379.0,1203.0
19,learn,1477.0,284.0,2172.0,586.0,1554.0
