,job,sentiment_category,overall_sentiment
3047,Senior Procurement Specialist,Positive,0.9450000000000001
3086,Senior SQA Engineer,Positive,0.85
2706,SDE1,Positive,0.85
633,Clinical Psychologist,Positive,0.8
3053,Senior Product Specialist,Positive,0.8
492,Care Coordinator,Positive,0.8
1152,Facilities Technician,Positive,0.7875000000000001
564,Chief Financial Officer,Positive,0.78
1702,Junior Engineer,Positive,0.7625000000000001
2990,Senior Human Resources Assistant,Positive,0.75
1251,Foreman,Positive,0.71
8,AML Investigator,Positive,0.7
1045,ENO,Positive,0.7
3600,Test Development Engineer,Positive,0.7
3635,Transaction Risk Investigator,Positive,0.675
696,Computer Technician,Positive,0.675
507,Casher,Positive,0.6666666666666666
430,Busser/Runner,Positive,0.65
2909,Senior Civil Engineer,Positive,0.65
308,BPO Executive,Positive,0.6499999999999999
756,Corporate Trainer,Positive,0.635
390,Business Data Analyst,Positive,0.6
2640,Research Officer,Positive,0.6
404,Business Development Specialist,Positive,0.6
3011,Senior Lead Engineer,Positive,0.6
1991,Medical Coder,Positive,0.595
3416,Student Mentor,Positive,0.595
2318,President,Positive,0.5925
2544,Quality Inspector,Positive,0.5900000000000001
1570,Implementation Specialist,Positive,0.585
2699,SAP ABAP Developer,Positive,0.5833333333333334
3242,Small Business Sales Representative,Positive,0.5800000000000001
3403,Strategic Account Executive,Positive,0.5650000000000001
458,COVID,Positive,0.565
3782,Working Student,Positive,0.5625
1682,Janitorial,Positive,0.5625
2285,Planning Analyst,Positive,0.56
519,Catalog Associate,Positive,0.56
2817,Salesforce Administrator,Positive,0.56
360,Bim Engineer,Positive,0.5599999999999999
3302,Software Support Engineer,Positive,0.555
3660,UI,Positive,0.5525
1331,Game Tester,Positive,0.55
2908,Senior CSE,Positive,0.55
448,CEO,Positive,0.5475
3315,Solution Engineer,Positive,0.5449999999999999
3779,Workforce Analyst,Positive,0.5425
2042,Model,Positive,0.535
913,Data Engineer II,Positive,0.525
2767,Sales Coordinator,Positive,0.5225
1503,ISR,Positive,0.5175000000000001
2563,Radiologic Technologist,Positive,0.5175
1964,Material Handler/Forklift Operator,Positive,0.515
1337,General Assistant,Positive,0.5125
