,Industry,Keyword_1,Keyword_2,Keyword_3,Keyword_4,Keyword_5,Keyword_6,Keyword_7,Keyword_8,Keyword_9,Keyword_10
0,Finance,work,hour,long,management,life,balance,pay,time,people,company
1,Automotive,work,hour,management,pay,employee,time,long,company,people,like
2,Technology,work,management,company,employee,time,pay,good,people,salary,project
3,Retail,work,hour,management,pay,time,manager,customer,store,employee,people
4,Healthcare,work,pay,management,staff,time,employee,company,low,job,people
5,Education,work,pay,time,low,student,hour,salary,position,employee,lot
6,Food_and_Beverage,work,management,company,hour,time,people,day,employee,long,pay
7,Business_Services,work,company,management,employee,time,people,pay,job,good,salary
8,Transportation_and_Logistics,work,management,company,pay,employee,time,hour,people,long,job
9,Energy,work,management,company,employee,life,good,balance,time,salary,bad
10,Media_and_Entertainment,work,management,company,pay,employee,time,people,change,hour,long
11,Consumer_Goods,work,management,company,employee,people,lack,time,pay,lot,leadership
12,Other,work,management,company,employee,change,pay,low,people,time,salary
13,Public_Sector,pay,work,low,time,salary,job,management,student,people,teacher
14,Telecommunication,work,management,company,pay,low,employee,time,bad,poor,people
