,Industry,Keyword_1,Keyword_2,Keyword_3,Keyword_4,Keyword_5,Keyword_6,Keyword_7,Keyword_8,Keyword_9,Keyword_10
0,Finance,good,work,great,people,culture,benefit,opportunity,environment,company,life
1,Automotive,great,work,good,benefit,company,people,employee,pay,environment,care
2,Technology,work,good,great,company,people,life,benefit,balance,environment,pay
3,Retail,work,good,great,pay,free,people,food,discount,flexible,hour
4,Healthcare,work,great,good,benefit,people,pay,company,staff,team,time
5,Education,work,great,good,student,environment,benefit,people,pay,flexible,lot
6,Food_and_Beverage,good,great,work,pay,benefit,company,people,culture,opportunity,team
7,Business_Services,work,good,great,company,benefit,people,pay,team,opportunity,environment
8,Transportation_and_Logistics,work,good,great,benefit,company,people,pay,employee,environment,team
9,Energy,good,work,great,environment,company,salary,benefit,pay,people,learn
10,Media_and_Entertainment,work,great,good,people,benefit,company,environment,lot,nice,opportunity
11,Consumer_Goods,work,great,good,company,people,brand,benefit,nice,product,opportunity
12,Other,work,good,great,company,benefit,people,pay,job,employee,opportunity
13,Public_Sector,work,great,good,benefit,people,student,job,pay,time,school
14,Telecommunication,work,good,great,company,benefit,people,life,balance,environment,colleague
